ds,y,hour,weekday,is_weekend,weekofyear,month,year,is_winter
2018-07-03 09:00:00,62,9,1,0,27,7,2018,0
2018-07-03 12:00:00,128,12,1,0,27,7,2018,0
2018-07-03 15:00:00,96,15,1,0,27,7,2018,0
2018-07-03 18:00:00,58,18,1,0,27,7,2018,0
2018-07-03 21:00:00,10,21,1,0,27,7,2018,0
2018-07-04 03:00:00,26,3,2,0,27,7,2018,0
2018-07-04 06:00:00,70,6,2,0,27,7,2018,0
2018-07-04 09:00:00,57,9,2,0,27,7,2018,0
2018-07-04 12:00:00,122,12,2,0,27,7,2018,0
2018-07-04 15:00:00,116,15,2,0,27,7,2018,0
2018-07-04 18:00:00,57,18,2,0,27,7,2018,0
2018-07-04 21:00:00,7,21,2,0,27,7,2018,0
2018-07-05 03:00:00,32,3,3,0,27,7,2018,0
2018-07-05 06:00:00,54,6,3,0,27,7,2018,0
2018-07-05 09:00:00,77,9,3,0,27,7,2018,0
2018-07-05 12:00:00,140,12,3,0,27,7,2018,0
2018-07-05 15:00:00,88,15,3,0,27,7,2018,0
2018-07-05 18:00:00,51,18,3,0,27,7,2018,0
2018-07-05 21:00:00,12,21,3,0,27,7,2018,0
2018-07-06 03:00:00,26,3,4,0,27,7,2018,0
2018-07-06 06:00:00,43,6,4,0,27,7,2018,0
2018-07-06 09:00:00,50,9,4,0,27,7,2018,0
2018-07-06 12:00:00,101,12,4,0,27,7,2018,0
2018-07-06 15:00:00,53,15,4,0,27,7,2018,0
2018-07-06 18:00:00,40,18,4,0,27,7,2018,0
2018-07-06 21:00:00,11,21,4,0,27,7,2018,0
2018-07-07 03:00:00,7,3,5,1,27,7,2018,0
2018-07-07 06:00:00,17,6,5,1,27,7,2018,0
2018-07-07 09:00:00,61,9,5,1,27,7,2018,0
2018-07-07 12:00:00,111,12,5,1,27,7,2018,0
2018-07-07 15:00:00,52,15,5,1,27,7,2018,0
2018-07-07 18:00:00,66,18,5,1,27,7,2018,0
2018-07-07 21:00:00,19,21,5,1,27,7,2018,0
2018-07-08 03:00:00,7,3,6,1,27,7,2018,0
2018-07-08 06:00:00,26,6,6,1,27,7,2018,0
2018-07-08 09:00:00,71,9,6,1,27,7,2018,0
2018-07-08 12:00:00,97,12,6,1,27,7,2018,0
2018-07-08 15:00:00,57,15,6,1,27,7,2018,0
2018-07-08 18:00:00,38,18,6,1,27,7,2018,0
2018-07-08 21:00:00,8,21,6,1,27,7,2018,0
2018-07-09 03:00:00,11,3,0,0,28,7,2018,0
2018-07-09 06:00:00,31,6,0,0,28,7,2018,0
2018-07-09 09:00:00,52,9,0,0,28,7,2018,0
2018-07-09 12:00:00,102,12,0,0,28,7,2018,0
2018-07-09 15:00:00,92,15,0,0,28,7,2018,0
2018-07-09 18:00:00,91,18,0,0,28,7,2018,0
2018-07-09 21:00:00,5,21,0,0,28,7,2018,0
2018-07-10 03:00:00,30,3,1,0,28,7,2018,0
2018-07-10 06:00:00,47,6,1,0,28,7,2018,0
2018-07-10 09:00:00,86,9,1,0,28,7,2018,0
2018-07-10 12:00:00,147,12,1,0,28,7,2018,0
2018-07-10 15:00:00,126,15,1,0,28,7,2018,0
2018-07-10 18:00:00,76,18,1,0,28,7,2018,0
2018-07-10 21:00:00,17,21,1,0,28,7,2018,0
2018-07-11 03:00:00,34,3,2,0,28,7,2018,0
2018-07-11 06:00:00,63,6,2,0,28,7,2018,0
2018-07-11 09:00:00,61,9,2,0,28,7,2018,0
2018-07-11 12:00:00,149,12,2,0,28,7,2018,0
2018-07-11 15:00:00,93,15,2,0,28,7,2018,0
2018-07-11 18:00:00,86,18,2,0,28,7,2018,0
2018-07-11 21:00:00,14,21,2,0,28,7,2018,0
2018-07-12 03:00:00,33,3,3,0,28,7,2018,0
2018-07-12 06:00:00,74,6,3,0,28,7,2018,0
2018-07-12 09:00:00,87,9,3,0,28,7,2018,0
2018-07-12 12:00:00,134,12,3,0,28,7,2018,0
2018-07-12 15:00:00,105,15,3,0,28,7,2018,0
2018-07-12 18:00:00,101,18,3,0,28,7,2018,0
2018-07-12 21:00:00,11,21,3,0,28,7,2018,0
2018-07-13 03:00:00,28,3,4,0,28,7,2018,0
2018-07-13 06:00:00,59,6,4,0,28,7,2018,0
2018-07-13 09:00:00,93,9,4,0,28,7,2018,0
2018-07-13 12:00:00,177,12,4,0,28,7,2018,0
2018-07-13 15:00:00,118,15,4,0,28,7,2018,0
2018-07-13 18:00:00,98,18,4,0,28,7,2018,0
2018-07-13 21:00:00,11,21,4,0,28,7,2018,0
2018-07-14 03:00:00,10,3,5,1,28,7,2018,0
2018-07-14 06:00:00,45,6,5,1,28,7,2018,0
2018-07-14 09:00:00,137,9,5,1,28,7,2018,0
2018-07-14 12:00:00,146,12,5,1,28,7,2018,0
2018-07-14 15:00:00,123,15,5,1,28,7,2018,0
2018-07-14 18:00:00,93,18,5,1,28,7,2018,0
2018-07-14 21:00:00,22,21,5,1,28,7,2018,0
2018-07-15 03:00:00,9,3,6,1,28,7,2018,0
2018-07-15 06:00:00,15,6,6,1,28,7,2018,0
2018-07-15 09:00:00,120,9,6,1,28,7,2018,0
2018-07-15 12:00:00,152,12,6,1,28,7,2018,0
2018-07-15 15:00:00,78,15,6,1,28,7,2018,0
2018-07-15 18:00:00,76,18,6,1,28,7,2018,0
2018-07-15 21:00:00,15,21,6,1,28,7,2018,0
2018-07-16 03:00:00,20,3,0,0,29,7,2018,0
2018-07-16 06:00:00,50,6,0,0,29,7,2018,0
2018-07-16 09:00:00,106,9,0,0,29,7,2018,0
2018-07-16 12:00:00,187,12,0,0,29,7,2018,0
2018-07-16 15:00:00,137,15,0,0,29,7,2018,0
2018-07-16 18:00:00,103,18,0,0,29,7,2018,0
2018-07-16 21:00:00,16,21,0,0,29,7,2018,0
2018-07-17 03:00:00,32,3,1,0,29,7,2018,0
2018-07-17 06:00:00,55,6,1,0,29,7,2018,0
2018-07-17 09:00:00,121,9,1,0,29,7,2018,0
2018-07-17 12:00:00,154,12,1,0,29,7,2018,0
2018-07-17 15:00:00,100,15,1,0,29,7,2018,0
2018-07-17 18:00:00,105,18,1,0,29,7,2018,0
2018-07-17 21:00:00,17,21,1,0,29,7,2018,0
2018-07-18 03:00:00,38,3,2,0,29,7,2018,0
2018-07-18 06:00:00,40,6,2,0,29,7,2018,0
2018-07-18 09:00:00,131,9,2,0,29,7,2018,0
